objid,specz,ra,dec,proj_sep,velocity,v_rel
1237671939804561977,0.08137539,258.21274,63.960697,8.21096159815284,24395.72818880862,362708.41705477017
1237671939804561997,0.081027345,258.23101,64.029253,4.64052023895014,24291.38692276401,266203.58975526044
1237671939804561999,0.08127932,258.23112,64.032429,4.48832786258944,24366.927127368563,336073.5389231068
1237671939804626957,0.07460423499999999,258.31944,64.055688,5.45498123625614,22365.78698785963,-1520364.6973934753
1237671939804626959,0.078439865,258.37128,64.046858,6.91449015830134,23515.67993353817,-452220.7613727846
1237671939804626961,0.07682644,258.33324,64.056802,5.76233168479092,23031.98728698952,-901065.6965775503
1237671939804627086,0.07765399,258.30574,63.977073,8.33621539497772,23280.080535607423,-670762.7983333825
1237671939804627102,0.0792037,258.35557,63.978695,9.05477215670063,23744.6719056946,-239959.87575683225
1237671939804627245,0.0815449,258.29265,63.985146,7.74095902200566,24446.5460083642,409698.34586137254
1237671939804627262,0.08213184000000001,258.27283,64.091241,3.76058014542687,24622.50619366272,572347.1464038162
1237671939804627265,0.08092269,258.26575,64.117134,3.86318208608613,24260.01214307202,237179.09143694962
1237671939804627279,0.07704972,258.30379,64.028753,5.96726312603089,23098.92494701176,-838910.6873386647
1237671939804627298,0.07988764000000001,258.33535,64.009444,7.35771412924312,23949.711959419124,-50028.1188516607
1237671939804627306,0.076210605,258.34049,64.069079,5.71392450224467,22847.364598617092,-1072563.617071043
1237671939804627307,0.08112399,258.32931,64.076861,5.32724989981895,24320.36036486742,293004.1345939153
1237671939804627378,0.08207111,258.3913,64.013379,8.35840230867369,24604.29979768838,555522.1702143772
1237671939804627395,0.07087519,258.40361,63.98859,9.53008784305737,21247.847421317023,-2562451.344092906
1237671939804627412,0.0776457,258.36616,64.122564,6.45932894241035,23277.595256130597,-673068.9899076521
1237671939804627419,0.0785919,258.40644,64.022284,8.40706953152112,23561.258879890203,-409960.04658287385
1237671939804627439,0.08193492,258.41279,64.133447,7.81880105471003,24563.471062833356,517787.89086695854
1237671939804627451,0.084621945,258.42904,64.081958,7.88328424604352,25369.020892290813,1261403.486059139
1237671939804627453,0.09021114,258.43112,64.083849,7.93062910366566,27044.61939958212,2802231.1960311313
1237671939804627462,0.08206038,258.45078,64.020363,9.48393731268263,24601.08302461404,552549.3729487256
1237671939804627464,0.071804485,258.44994,64.025909,9.3161404176649,21526.44305357413,-2302424.3369922396
1237671939804627483,0.08079002,258.43205,64.123685,8.14615367880558,24220.23867766916,200381.0062549251
1237671939804627518,0.08287635,258.46676,64.119499,8.98602887839081,24845.7046765683,778533.2947543829
1237671939804627535,0.080897405,258.48871,64.111343,9.48337428131356,24252.431890771495,230166.2528452766
